Indicador;Sexo;Mes;L;M;S
imc;M;10;-0.3512;17.0503;0.08068
imc;M;11;-0.383;16.9231;0.08037
imc;M;12;-0.4113;16.7992;0.08009
imc;M;13;-0.4384;16.6731;0.07982
imc;M;14;-0.4629;16.5553;0.07958
imc;M;15;-0.4867;16.4393;0.07934
imc;M;16;-0.5082;16.3335;0.07913
imc;M;17;-0.5286;16.2343;0.07893
imc;M;18;-0.5485;16.1388;0.07873
imc;M;19;-0.5667;16.0536;0.07854
imc;M;20;-0.5847;15.9737;0.07836
imc;M;21;-0.6013;15.9043;0.07818
imc;M;22;-0.6176;15.8405;0.07802
imc;M;23;-0.6328;15.7853;0.07786
imc;M;24;-0.6187;16.0189;0.07785
imc;M;25;-0.584;15.9799;0.07792
imc;M;26;-0.5501;15.9418;0.07799
imc;M;27;-0.5164;15.9034;0.07809
imc;M;28;-0.4853;15.867;0.07818
imc;M;29;-0.4549;15.8303;0.07829
imc;M;30;-0.4275;15.7954;0.07841
imc;M;31;-0.4013;15.7601;0.07854
imc;M;32;-0.3782;15.7267;0.07867
imc;M;33;-0.3575;15.6939;0.07882
imc;M;34;-0.3388;15.6609;0.07897
imc;M;35;-0.3233;15.6297;0.07913
imc;M;36;-0.31;15.5986;0.07931
imc;M;37;-0.3;15.5695;0.07949
imc;M;38;-0.2927;15.5406;0.07969
imc;M;39;-0.2884;15.5141;0.0799
imc;M;40;-0.2869;15.4881;0.08013
imc;M;41;-0.2881;15.4645;0.08036
imc;M;42;-0.2918;15.4423;0.08061
imc;M;43;-0.2982;15.4209;0.08087
imc;M;44;-0.3066;15.4015;0.08114
imc;M;45;-0.3175;15.3825;0.08144
imc;M;46;-0.3302;15.3652;0.08174
imc;M;47;-0.3455;15.3483;0.08206
imc;M;48;-0.3622;15.3326;0.08238
imc;M;49;-0.3808;15.3176;0.08272
imc;M;50;-0.402;15.3029;0.08307
imc;M;51;-0.4243;15.2892;0.08343
imc;M;52;-0.449;15.2758;0.08381
imc;M;53;-0.4745;15.2634;0.08418
imc;M;54;-0.5022;15.2513;0.08457
imc;M;55;-0.5302;15.24;0.08496
imc;M;56;-0.5604;15.229;0.08537
imc;M;57;-0.5906;15.2188;0.08577
imc;M;58;-0.6219;15.2092;0.08617
imc;M;59;-0.6554;15.2;0.08659
imc;M;60;-0.6889;15.1917;0.08699
imc;F;0;-0.0631;13.3363;0.09272
imc;F;1;0.3481;14.5422;0.09559
imc;F;2;0.1743;15.7713;0.09371
imc;F;3;0.0652;16.3531;0.09255
imc;F;4;-0.0197;16.6722;0.09166
imc;F;5;-0.086;16.8379;0.09096
imc;F;6;-0.1436;16.9086;0.09035
imc;F;7;-0.1915;16.9021;0.08984
imc;F;8;-0.2351;16.839;0.08938
imc;F;9;-0.2726;16.7404;0.08898
imc;F;10;-0.3064;16.62;0.08862
imc;F;11;-0.3382;16.4867;0.08827
imc;F;12;-0.3665;16.3578;0.08797
imc;F;13;-0.3934;16.2298;0.08768
imc;F;14;-0.4176;16.1132;0.08741
imc;F;15;-0.441;16.0013;0.08716
imc;F;16;-0.4623;15.9017;0.08693
imc;F;17;-0.4823;15.8108;0.08671
imc;F;18;-0.5018;15.726;0.0865
imc;F;19;-0.5197;15.6524;0.08631
imc;F;20;-0.5374;15.585;0.08611
imc;F;21;-0.5536;15.5281;0.08594
imc;F;22;-0.5697;15.4782;0.08576
imc;F;23;-0.5846;15.4381;0.0856
imc;F;24;-0.5684;15.6881;0.08454
imc;F;25;-0.5684;15.6589;0.08452
imc;F;26;-0.5684;15.6311;0.08449
imc;F;27;-0.5684;15.6036;0.08446
imc;F;28;-0.5684;15.5779;0.08444
imc;F;29;-0.5684;15.5521;0.08443
imc;F;30;-0.5684;15.5277;0.08444
imc;F;31;-0.5684;15.503;0.08448
imc;F;32;-0.5684;15.4798;0.08455
imc;F;33;-0.5684;15.4575;0.08467
imc;F;34;-0.5684;15.4355;0.08484
imc;F;35;-0.5684;15.4157;0.08506
imc;F;36;-0.5684;15.3966;0.08535
imc;F;37;-0.5684;15.3797;0.08569
imc;F;38;-0.5684;15.3636;0.08609
imc;F;39;-0.5684;15.3493;0.08654
imc;F;40;-0.5684;15.3356;0.08704
imc;F;41;-0.5684;15.3233;0.08757
imc;F;42;-0.5684;15.3117;0.08813
imc;F;43;-0.5684;15.3006;0.08872
imc;F;44;-0.5684;15.2906;0.08931
imc;F;45;-0.5684;15.2813;0.08992
imc;F;46;-0.5684;15.2732;0.0905
imc;F;47;-0.5684;15.266;0.0911
imc;F;48;-0.5684;15.2602;0.09168
imc;F;49;-0.5684;15.2557;0.09227
imc;F;50;-0.5684;15.2523;0.09287
imc;F;51;-0.5684;15.2503;0.09345
imc;F;52;-0.5684;15.2496;0.09404
imc;F;53;-0.5684;15.2502;0.0946
imc;F;54;-0.5684;15.2519;0.09516
imc;F;55;-0.5684;15.2543;0.09567
imc;F;56;-0.5684;15.2576;0.09618
imc;F;57;-0.5684;15.2612;0.09665
imc;F;58;-0.5684;15.2653;0.09708
imc;F;59;-0.5684;15.2698;0.0975
imc;F;60;-0.5684;15.2747;0.09789
peso;M;0;0.3487;3.3464;0.14602
peso;M;1;0.2303;4.4525;0.13413
peso;M;2;0.1969;5.5714;0.12382
peso;M;3;0.174;6.369;0.11732
peso;M;4;0.1551;7.0069;0.11313
peso;M;5;0.1396;7.5077;0.11081
peso;M;6;0.1256;7.9389;0.10957
peso;M;7;0.1134;8.2963;0.10902
peso;M;8;0.1019;8.62;0.10882
peso;M;9;0.0917;8.9019;0.10881
peso;M;10;0.0821;9.1618;0.1089
peso;M;11;0.0729;9.4136;0.10906
peso;M;12;0.0645;9.646;0.10925
peso;M;13;0.0563;9.8772;0.10949
peso;M;14;0.0487;10.0944;0.10976
peso;M;15;0.0412;10.3139;0.11008
peso;M;16;0.0343;10.5228;0.11041
peso;M;17;0.0276;10.7289;0.11078
peso;M;18;0.021;10.9393;0.1112
peso;M;19;0.0149;11.1409;0.11163
peso;M;20;0.0087;11.3478;0.11212
peso;M;21;0.0029;11.5474;0.11261
peso;M;22;-0.0029;11.7528;0.11315
peso;M;23;-0.0083;11.951;0.11369
peso;M;24;-0.0137;12.1548;0.11427
